| IP Address      |   Port | Service             | Country   | City   | Organization                                                                                             | ISP                                              | ASN      |   Latitude |   Longitude |
|:----------------|-------:|:--------------------|:----------|:-------|:---------------------------------------------------------------------------------------------------------|:-------------------------------------------------|:---------|-----------:|------------:|
| 125.16.233.211  |     80 | uc-httpd            | India     | Pune   | HYPERION MATERIALS & TECH                                                                                | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 115.247.190.210 |     80 | uc-httpd            | India     | Pune   | Reliance Jio Infocomm Limited                                                                            | Reliance Jio Infocomm Limited                    | AS55836  |    18.5196 |     73.8554 |
| 45.250.251.148  |     80 | uc-httpd            | India     | Pimpri | Intech Online Private Limited                                                                            | Silicon Care Broadnet Pvt Ltd.                   | AS135795 |    18.6229 |     73.807  |
| 103.175.171.232 |     86 | N/A                 | India     | Pimpri | SHREE GANESH BROADBAND SERVICES                                                                          | Limerick Technologies Pvt. Ltd.                  | AS138311 |    18.6032 |     73.7626 |
| 183.87.224.37   |     80 | Hikvision IP Camera | India     | Pune   | FiveNetwork Solutions India Pvt Ltd                                                                      | Fivenetwork Solution India Pvt Ltd Internet      | AS24554  |    18.5196 |     73.8554 |
| 115.117.45.11   |     80 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | Tata Communications Ltd                          | AS10199  |    18.5247 |     73.8471 |
| 116.74.186.43   |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5196 |     73.8554 |
| 182.48.202.46   |     83 | Hikvision IP Camera | India     | Pune   | Dvois Broadband Pvt Ltd                                                                                  | D-Vois Broadband Pvt Ltd                         | AS45769  |    18.5196 |     73.8554 |
| 116.74.186.29   |     81 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5148 |     73.8358 |
| 45.113.248.57   |     81 | Hikvision IP Camera | India     | Pune   | Intermedia Cable Communication Pvt Ltd                                                                   | Intermedia Cable Communication Pvt Ltd           | AS134055 |    18.5196 |     73.8554 |
| 123.63.148.179  |     80 | Hikvision IP Camera | India     | Pune   | Vodafone Idea Ltd                                                                                        | Vodafone Idea Ltd                                | AS55410  |    18.5196 |     73.8554 |
| 103.151.185.27  |     80 | Hikvision IP Camera | India     | Pune   | AADVANCE INFOTECH                                                                                        | Wyris Network Pvt Ltd                            | AS141322 |    18.5167 |     73.9167 |
| 125.99.70.196   |     91 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5196 |     73.8554 |
| 117.217.118.144 |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 61.246.169.33   |     80 | Hikvision IP Camera | India     | Pune   | Bharti Broadband networks Limited                                                                        | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 136.233.196.76  |   8080 | Hikvision IP Camera | India     | Pune   | Reliance Jio Infocomm Limited                                                                            | Reliance Jio Infocomm Limited                    | AS55836  |    18.5196 |     73.8554 |
| 103.97.164.81   |     84 | Hikvision IP Camera | India     | Pune   | Pearl Solutions                                                                                          | Paradise Telecom Pvt Ltd                         | AS136284 |    18.5196 |     73.8554 |
| 103.8.37.178    |     80 | Hikvision IP Camera | India     | Pune   | Tata Teleservices Limited -GSM Division                                                                  | Tata Teleservices Maharashtra Ltd                | AS17762  |    18.5196 |     73.8554 |
| 103.176.135.189 |     80 | Hikvision IP Camera | India     | Pune   | INSPITELE SOLUTIONS PRIVATE LIMITED                                                                      | INSPITELE SOLUTIONS PRIVATE LIMITED              | AS147221 |    18.5196 |     73.8554 |
| 123.63.137.91   |     80 | Hikvision IP Camera | India     | Pune   | Vodafone Idea Ltd                                                                                        | Vodafone Idea Ltd                                | AS55410  |    18.5196 |     73.8554 |
| 103.96.43.205   |     80 | Hikvision IP Camera | India     | Pune   | Limerick Technologies Pvt. Ltd.                                                                          | SHREE BALAJI INFOWAY PRIVATE LIMITED             | AS135744 |    18.5196 |     73.8554 |
| 125.20.73.98    |   8010 | Hikvision IP Camera | India     | Pune   | Bharti Televentures Limited A/c ABTS MP                                                                  | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 117.217.100.160 |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 183.87.159.130  |     80 | Hikvision IP Camera | India     | Pune   | Syscon Infoway Pvt. Ltd.                                                                                 | Syscon Infoway Pvt. Ltd.                         | AS45194  |    18.5196 |     73.8554 |
| 59.95.99.67     |     80 | Hikvision IP Camera | India     | Pune   | NIB (National Internet Backbone)                                                                         | National Internet Backbone                       | AS9829   |    18.5148 |     73.8358 |
| 1.22.124.247    |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5247 |     73.8471 |
| 103.149.197.43  |     80 | Hikvision IP Camera | India     | Pune   | Net Access Internet India Pvt Ltd                                                                        | Net Access Internet India Pvt Ltd                | AS140158 |    18.5196 |     73.8554 |
| 113.193.26.86   |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5196 |     73.8554 |
